path,expected_fruit,expected_quality,predicted_species,predicted_quality,correct,colour_quality,colour_confidence,defect_ripeness,defect_percentage,stem_detected,quality_note
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.34.14 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.09064676466589112,False,colour KNN won (100% vs defect ripeness rule 97%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (64).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,0.6181355353761304,Fresh,0.700737206937061,True,colour KNN won (62% vs defect ripeness rule 53%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (166).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 94%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (3).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,True,colour KNN won (100% vs defect ripeness rule 72%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.21.31 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,0.5105010930487387,Fresh,0.0,True,defect ripeness rule won (96% vs colour KNN 51%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (109).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 46%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (129).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.24959626658942158,True,colour KNN won (100% vs defect ripeness rule 70%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (63).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.6531658052728335,True,colour KNN won (100% vs defect ripeness rule 55%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (200).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 96%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (147).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.11925201720832687,False,colour KNN won (100% vs defect ripeness rule 94%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.02.54 PM.png,Apple,Fresh,Apple,Fresh,True,Rotten,0.6575336371074758,Fresh,0.280407375835614,False,colour KNN said Rotten but defect found nothing (defect%=0.3%) -- downgraded to Fresh; colour KNN won (100% vs defect ripeness rule 99%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (179).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 98%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.28.48 PM.png,Apple,Fresh,Apple,Fresh,True,Rotten,0.5376326620367567,Fresh,1.3166855845629966,False,colour KNN said Rotten but defect found nothing (defect%=1.3%) -- downgraded to Fresh; colour KNN won (100% vs defect ripeness rule 56%); Stem not detected
