epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5731,2.21098,3.2711,1.94922,0.00394,0.65,0.129,0.08051,1.86154,3.90651,1.61106,0.000606061,0.000606061,0.000606061
2,89.3601,2.11836,2.68912,1.84143,0.00409,0.675,0.16129,0.07666,2.18252,4.03152,1.79846,0.00124123,0.00124123,0.00124123
3,130.972,2.14608,2.43937,1.75834,0.43107,0.05,0.11808,0.03789,2.35504,3.94291,2.02098,0.00184339,0.00184339,0.00184339
4,172.501,2.10807,2.49401,1.76011,0.23671,0.15,0.10737,0.04277,2.22884,3.67159,1.92741,0.0018515,0.0018515,0.0018515
5,213.036,2.13864,2.21141,1.74054,0.10138,0.15,0.04999,0.01794,2.27737,3.61404,1.98075,0.001802,0.001802,0.001802
6,253.421,2.02281,2.14479,1.70548,0.0997,0.2,0.03401,0.01326,2.39206,3.67529,2.10351,0.0017525,0.0017525,0.0017525
7,293.488,2.00616,2.05327,1.68712,0.2335,0.2,0.08504,0.02286,2.43532,3.57151,2.20901,0.001703,0.001703,0.001703
8,346.115,2.03943,1.9393,1.70053,0.16965,0.2,0.12733,0.03673,2.45612,3.38625,2.26956,0.0016535,0.0016535,0.0016535
9,393.81,1.99126,1.95979,1.67761,0.39561,0.25,0.23008,0.07627,2.39772,3.16318,2.18874,0.001604,0.001604,0.001604
10,434.91,1.97809,1.85107,1.61219,0.24375,0.225,0.14809,0.06058,2.51547,3.24028,2.15879,0.0015545,0.0015545,0.0015545
11,475.973,1.95115,1.89522,1.61721,0.42915,0.225,0.20804,0.0615,2.59327,3.43955,2.00297,0.001505,0.001505,0.001505
12,516.347,1.92281,1.86132,1.62838,0.228,0.275,0.12757,0.04461,2.26165,3.21591,1.77941,0.0014555,0.0014555,0.0014555
13,557.121,1.89657,1.7736,1.60405,0.2503,0.37561,0.25487,0.0919,2.04821,2.81773,1.7335,0.001406,0.001406,0.001406
