epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.8184,0.89857,4.48874,1.30176,0,0,0,0,0.85362,4.91437,1.3799,0.00043303,0.00043303,0.00043303
2,137.391,1.09064,3.15803,1.40814,0.08174,0.36885,0.089,0.0465,1.16776,4.23398,1.69998,0.000891358,0.000891358,0.000891358
3,243.1,1.10823,2.61298,1.44832,0.25112,0.32437,0.15666,0.1108,1.43558,5.07254,1.91441,0.00133082,0.00133082,0.00133082
4,341.972,1.19466,2.30329,1.54268,0.15479,0.34146,0.11588,0.06519,1.53493,17.2553,2.19311,0.00134412,0.00134412,0.00134412
5,421.471,1.15816,2.22584,1.4959,0.19103,0.34321,0.13207,0.06185,1.81316,11.9882,2.44398,0.00131582,0.00131582,0.00131582
6,502.874,1.12157,2.05011,1.49758,0.25382,0.50287,0.22043,0.15916,1.27828,10.9968,1.75003,0.00128753,0.00128753,0.00128753
7,595.573,1.07438,1.79917,1.43828,0.28404,0.80935,0.32747,0.24204,1.23653,5.54752,1.61972,0.00125923,0.00125923,0.00125923
8,690.573,1.06643,1.79505,1.41514,0.3257,0.48947,0.34461,0.25667,1.17803,2.76684,1.59144,0.00123094,0.00123094,0.00123094
9,785.604,1.07131,1.75583,1.42806,0.41875,0.4456,0.31403,0.21576,1.24436,2.85357,1.60312,0.00120265,0.00120265,0.00120265
10,880.953,0.95388,1.62689,1.3111,0.48018,0.38577,0.37501,0.28855,1.16143,2.56691,1.55441,0.00117435,0.00117435,0.00117435
11,986.031,0.93254,1.61417,1.29922,0.26322,0.64037,0.43614,0.3355,1.12155,2.39443,1.5308,0.00114606,0.00114606,0.00114606
12,1086.46,0.89629,1.55845,1.28291,0.47016,0.52157,0.43207,0.31233,1.10128,1.61252,1.52135,0.00111776,0.00111776,0.00111776
13,1178.34,0.87242,1.49161,1.28522,0.69457,0.43663,0.50244,0.36628,1.1669,1.50463,1.63224,0.00108947,0.00108947,0.00108947
14,1270.54,0.88241,1.5096,1.25101,0.67467,0.51465,0.63939,0.48309,1.06012,1.45091,1.472,0.00106118,0.00106118,0.00106118
15,1355.83,0.85616,1.42634,1.24469,0.51454,0.54938,0.54787,0.39236,1.04852,1.48543,1.48848,0.00103288,0.00103288,0.00103288
16,1448.5,0.85668,1.39723,1.24154,0.49059,0.54479,0.53687,0.39593,1.06422,1.5393,1.44604,0.00100459,0.00100459,0.00100459
17,1537.04,0.82157,1.34045,1.21857,0.71416,0.59345,0.66292,0.48559,1.02645,1.44178,1.42932,0.000976293,0.000976293,0.000976293
18,1621.82,0.825,1.32049,1.19986,0.66366,0.5832,0.66848,0.5191,0.91747,1.39053,1.3599,0.000947999,0.000947999,0.000947999
19,1709.15,0.82985,1.35304,1.19207,0.60695,0.57711,0.65906,0.4507,1.00136,1.84585,1.40763,0.000919704,0.000919704,0.000919704
20,1797.08,0.82155,1.34386,1.22455,0.51623,0.55925,0.51351,0.38824,1.01476,2.11564,1.40089,0.00089141,0.00089141,0.00089141
21,1888.55,0.78151,1.21434,1.15687,0.5659,0.52234,0.52407,0.39001,0.9998,2.09021,1.40163,0.000863116,0.000863116,0.000863116
22,1976.7,0.71371,1.16574,1.15095,0.59483,0.65857,0.66235,0.52619,0.88243,1.3438,1.33229,0.000834822,0.000834822,0.000834822
23,2058.01,0.75375,1.19355,1.17502,0.46984,0.72799,0.63421,0.4796,0.95054,1.30249,1.40192,0.000806528,0.000806528,0.000806528
24,2146.31,0.7626,1.16697,1.15767,0.81047,0.6103,0.75971,0.57815,0.89249,1.19509,1.31273,0.000778233,0.000778233,0.000778233
25,2234.78,0.71566,1.12313,1.13271,0.73888,0.63817,0.75026,0.58063,0.89006,1.24596,1.31236,0.000749939,0.000749939,0.000749939
26,2321.18,0.73048,1.09789,1.12091,0.67599,0.67228,0.74087,0.57637,0.84274,1.33177,1.28359,0.000721645,0.000721645,0.000721645
27,2408.86,0.67649,1.07094,1.10863,0.62956,0.6886,0.73675,0.58416,0.85571,1.1887,1.28266,0.000693351,0.000693351,0.000693351
28,2503.76,0.71857,1.11224,1.13058,0.74836,0.69267,0.75355,0.57955,0.91438,1.21776,1.32439,0.000665057,0.000665057,0.000665057
29,2595.47,0.73786,1.14987,1.1547,0.78067,0.7011,0.73921,0.58728,0.8617,1.25083,1.30563,0.000636762,0.000636762,0.000636762
30,2686.86,0.72905,1.08646,1.14315,0.66654,0.63542,0.7205,0.55446,0.9055,1.47655,1.32791,0.000608468,0.000608468,0.000608468
31,2769.37,0.61931,1.00943,1.07328,0.62255,0.60913,0.69683,0.55795,0.88636,1.49202,1.33216,0.000580174,0.000580174,0.000580174
