epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.855,0.90452,4.77779,1.37309,0,0,0,0,0.22508,5.16018,0.89962,0.000238167,0.000238167,0.000238167
2,32.1139,1.08706,4.67925,1.4589,0,0,0,0,0.29404,5.14854,1.09974,0.000679132,0.000679132,0.000679132
3,43.9676,1.12976,4.47827,1.48579,0,0,0,0,0.29404,5.14854,1.09974,0.00107294,0.00107294,0.00107294
4,55.4519,0.96899,3.98025,1.41488,0,0,0,0,0.81824,4.99572,1.41983,0.00121679,0.00121679,0.00121679
5,67.1122,1.19329,3.78161,1.4858,0,0,0,0,0.81824,4.99572,1.41983,0.00114606,0.00114606,0.00114606
6,87.8874,1.42302,3.75782,1.67174,0,0,0,0,0.87349,4.88517,1.62685,0.00107532,0.00107532,0.00107532
7,106.749,1.27746,3.26693,1.62019,0,0,0,0,0.87349,4.88517,1.62685,0.00100459,0.00100459,0.00100459
8,120.596,1.3098,3.00239,1.6713,0.5,0.5,0.4975,0.36062,0.81436,4.00732,1.74736,0.000933851,0.000933851,0.000933851
9,132.5,1.27162,2.90899,1.62596,0.5,0.5,0.4975,0.36062,0.81436,4.00732,1.74736,0.000863116,0.000863116,0.000863116
10,145.556,1.2573,3.12069,1.64881,0.18056,1,0.56857,0.45486,0.8348,2.93974,1.60124,0.00079238,0.00079238,0.00079238
11,158.722,1.31987,2.73089,1.84547,0.18056,1,0.56857,0.45486,0.8348,2.93974,1.60124,0.000721645,0.000721645,0.000721645
12,173.341,1.40382,2.62081,1.84132,0.11859,1,0.56857,0.32434,1.22218,3.18412,1.9821,0.000650909,0.000650909,0.000650909
13,185.395,1.22207,2.61594,1.74166,0.11859,1,0.56857,0.32434,1.22218,3.18412,1.9821,0.000580174,0.000580174,0.000580174
14,197.964,1.44296,2.84094,1.87087,0.16667,1,0.91167,0.5239,1.1314,3.19649,2.36563,0.000509438,0.000509438,0.000509438
15,209.615,1.41216,2.53457,1.93732,0.16667,1,0.91167,0.5239,1.1314,3.19649,2.36563,0.000438703,0.000438703,0.000438703
16,223.168,1.28443,2.6905,1.7918,0.325,1,0.91167,0.46417,1.52436,3.80854,2.21622,0.000367967,0.000367967,0.000367967
17,234.695,1.35725,2.24321,1.83918,0.325,1,0.91167,0.46417,1.52436,3.80854,2.21622,0.000297232,0.000297232,0.000297232
18,246.16,1.44177,2.27293,1.92498,0.41667,1,0.82917,0.38958,1.07755,3.78041,1.86626,0.000226497,0.000226497,0.000226497
19,256.369,1.22204,2.36396,1.76309,0.41667,1,0.82917,0.38958,1.07755,3.78041,1.86626,0.000155761,0.000155761,0.000155761
20,268.09,1.2696,2.21387,1.74685,0.36667,1,0.82917,0.54385,0.88568,3.54055,1.60892,8.50255e-05,8.50255e-05,8.50255e-05
